Order ID,Date,Product,Category,Quantity,Unit Price,Total Sales,Region,Customer ID
35,2023-12-12,Snacks,Grocery,4,502,2008,East,CUST9338
36,2023-05-08,Snacks,Grocery,4,588,2352,East,CUST3385
37,2023-05-31,Headphones,Electronics,9,572,5148,East,CUST5061
38,2023-05-24,Sofa,Furniture,7,863,6041,South,CUST9815
39,2023-10-31,Smartphone,Electronics,2,996,1992,South,CUST5548
40,2023-08-21,Magazine,Books,7,108,756,East,CUST3255
41,2023-04-26,Jeans,Clothing,8,772,6176,East,CUST2648
42,2023-09-11,Milk,Grocery,8,951,7608,East,CUST3557
43,2023-12-04,Headphones,Electronics,9,960,8640,South,CUST3869
44,2023-03-09,Shirt,Clothing,9,260,2340,North,CUST5493
45,2023-05-08,Magazine,Books,3,500,1500,North,CUST5555
46,2023-01-22,Jacket,Clothing,6,474,2844,South,CUST2693
47,2023-10-10,Magazine,Books,6,875,5250,East,CUST1225
48,2023-11-13,Comics,Books,1,383,383,West,CUST8683
49,2023-08-08,Shirt,Clothing,1,271,271,South,CUST2069
50,2023-08-21,Comics,Books,3,991,2973,North,CUST3327
51,2023-04-09,Novel,Books,5,706,3530,West,CUST6088
52,2023-09-13,Snacks,Grocery,5,260,1300,East,CUST9319
53,2023-11-19,Chair,Furniture,6,669,4014,West,CUST3733
54,2023-05-07,Sofa,Furniture,6,762,4572,East,CUST2409
55,2023-10-26,Chair,Furniture,8,492,3936,South,CUST8343
56,2023-12-21,Comics,Books,7,637,4459,South,CUST9716
57,2023-02-05,Milk,Grocery,7,924,6468,North,CUST3368
58,2023-04-02,Snacks,Grocery,7,242,1694,South,CUST6919
59,2023-02-27,Shirt,Clothing,6,413,2478,South,CUST5777
60,2023-02-22,Shirt,Clothing,1,363,363,West,CUST4051
61,2023-09-19,Rice,Grocery,7,295,2065,North,CUST8027
62,2023-05-24,Jacket,Clothing,8,919,7352,North,CUST5465
63,2023-04-30,Milk,Grocery,3,756,2268,East,CUST6177
64,2023-10-06,Chair,Furniture,5,929,4645,East,CUST8560
65,2023-05-02,Rice,Grocery,1,157,157,North,CUST8805
66,2023-09-29,Smartphone,Electronics,5,996,4980,North,CUST5070
67,2023-06-03,Comics,Books,7,175,1225,West,CUST4506
68,2023-08-08,Comics,Books,9,384,3456,North,CUST3141
69,2023-04-10,Rice,Grocery,5,650,3250,North,CUST8421
70,2023-04-10,Magazine,Books,6,936,5616,South,CUST8390
71,2023-04-06,Table,Furniture,3,541,1623,North,CUST5611
72,2023-06-27,Chair,Furniture,4,763,3052,East,CUST3427
73,2023-04-11,Smartphone,Electronics,3,526,1578,West,CUST9002
74,2023-02-12,Smartphone,Electronics,8,941,7528,West,CUST5380
75,2023-08-30,Magazine,Books,2,352,704,East,CUST9967
76,2023-04-15,Comics,Books,2,214,428,East,CUST4267
77,2023-03-16,Chair,Furniture,2,592,1184,North,CUST8543
78,2023-06-13,Rice,Grocery,5,860,4300,South,CUST6988
79,2023-02-05,Headphones,Electronics,1,198,198,South,CUST6104
80,2023-10-06,Novel,Books,7,624,4368,North,CUST3914
81,2023-03-03,Laptop,Electronics,1,980,980,West,CUST1728
82,2023-04-10,Magazine,Books,3,276,828,West,CUST8400
83,2023-07-25,Shirt,Clothing,7,895,6265,East,CUST5946
84,2023-04-09,Sofa,Furniture,5,168,840,West,CUST8192
85,2023-02-22,Snacks,Grocery,5,583,2915,East,CUST2167
86,2023-07-05,Headphones,Electronics,5,141,705,East,CUST7541
87,2023-08-09,Chair,Furniture,3,314,942,East,CUST9010
88,2023-09-10,Sofa,Furniture,9,173,1557,South,CUST2542
89,2023-05-02,Comics,Books,9,894,8046,South,CUST2540
90,2023-05-16,Novel,Books,6,438,2628,West,CUST2365
91,2023-10-28,Rice,Grocery,7,316,2212,West,CUST4141
92,2023-12-30,Snacks,Grocery,3,544,1632,South,CUST5186
93,2023-05-06,Table,Furniture,3,138,414,East,CUST5268
94,2023-11-13,Comics,Books,4,575,2300,East,CUST4072
95,2023-11-08,Shirt,Clothing,9,290,2610,North,CUST6029
96,2023-08-01,Comics,Books,5,179,895,East,CUST6348
97,2023-02-16,Snacks,Grocery,3,631,1893,North,CUST4376
98,2023-09-16,Smartphone,Electronics,6,985,5910,West,CUST9662
99,2023-06-05,Headphones,Electronics,8,457,3656,North,CUST7819
100,2023-08-08,Table,Furniture,2,639,1278,North,CUST5835
101,2023-07-31,Jeans,Clothing,1,300,300,North,CUST3779
102,2023-03-23,Novel,Books,3,352,1056,East,CUST1255
103,2023-01-10,Magazine,Books,9,549,4941,West,CUST9989
104,2023-10-16,Sofa,Furniture,5,218,1090,South,CUST3193
105,2023-03-04,Headphones,Electronics,5,381,1905,North,CUST4925
106,2023-04-08,Jacket,Clothing,1,560,560,North,CUST8266
107,2023-07-16,Smartphone,Electronics,7,617,4319,East,CUST6989
108,2023-06-14,Shirt,Clothing,7,664,4648,South,CUST5178
109,2023-01-01,Smartphone,Electronics,9,977,8793,East,CUST5780
110,2023-10-15,Comics,Books,1,980,980,South,CUST4419
111,2023-04-28,Table,Furniture,2,537,1074,East,CUST5363
112,2023-09-08,Laptop,Electronics,5,833,4165,North,CUST7544
113,2023-04-13,Novel,Books,2,174,348,South,CUST7881
114,2023-12-01,Table,Furniture,2,897,1794,East,CUST2331
115,2023-01-30,Laptop,Electronics,1,434,434,East,CUST4177
116,2023-05-18,Shirt,Clothing,5,896,4480,West,CUST4472
117,2023-02-03,Chair,Furniture,4,168,672,South,CUST6569
118,2023-09-06,Comics,Books,3,210,630,East,CUST8350
119,2023-12-26,Jeans,Clothing,8,999,7992,West,CUST9472
120,2023-05-02,Jacket,Clothing,2,160,320,East,CUST8570
121,2023-06-19,Novel,Books,2,703,1406,North,CUST7677
122,2023-08-21,Comics,Books,1,744,744,West,CUST3393
123,2023-09-06,Chair,Furniture,9,893,8037,East,CUST6240
124,2023-10-19,Jacket,Clothing,1,125,125,North,CUST2276
125,2023-01-14,Snacks,Grocery,8,825,6600,South,CUST9150
126,2023-01-07,Chair,Furniture,8,982,7856,East,CUST2646
127,2023-10-21,Jacket,Clothing,2,605,1210,East,CUST2906
128,2023-07-21,Headphones,Electronics,5,127,635,East,CUST2976
129,2023-05-06,Headphones,Electronics,6,573,3438,West,CUST5632
130,2023-03-09,Smartphone,Electronics,4,124,496,South,CUST9258
131,2023-08-16,Smartphone,Electronics,2,210,420,East,CUST8943
132,2023-01-06,Headphones,Electronics,9,712,6408,West,CUST6401
133,2023-12-31,Sofa,Furniture,8,414,3312,South,CUST4812
134,2023-10-04,Smartphone,Electronics,5,761,3805,South,CUST2605
135,2023-05-17,Milk,Grocery,8,922,7376,East,CUST9434
136,2023-08-08,Magazine,Books,6,421,2526,East,CUST9195
137,2023-07-13,Laptop,Electronics,8,673,5384,East,CUST7316
138,2023-04-28,Rice,Grocery,6,509,3054,West,CUST9915
139,2023-05-22,Smartphone,Electronics,1,189,189,West,CUST2828
140,2023-09-16,Jacket,Clothing,4,944,3776,North,CUST1009
141,2023-06-17,Magazine,Books,2,112,224,South,CUST2619
142,2023-09-30,Headphones,Electronics,5,428,2140,North,CUST2994
143,2023-11-14,Jeans,Clothing,1,680,680,West,CUST1235
144,2023-05-17,Table,Furniture,5,475,2375,South,CUST3635
145,2023-11-16,Jacket,Clothing,1,395,395,South,CUST6951
146,2023-09-27,Magazine,Books,9,328,2952,West,CUST7941
147,2023-12-05,Shirt,Clothing,5,104,520,East,CUST1077
148,2023-08-25,Table,Furniture,4,700,2800,South,CUST3136
149,2023-10-15,Sofa,Furniture,8,625,5000,East,CUST8804
150,2023-05-25,Headphones,Electronics,1,764,764,North,CUST5033
151,2023-05-14,Magazine,Books,7,297,2079,East,CUST2202
152,2023-08-19,Sofa,Furniture,1,577,577,East,CUST1419
153,2023-10-16,Comics,Books,9,196,1764,South,CUST3243
154,2023-11-26,Table,Furniture,5,734,3670,North,CUST7028
155,2023-01-15,Rice,Grocery,8,795,6360,North,CUST4719
156,2023-06-22,Novel,Books,4,943,3772,South,CUST1094
157,2023-10-09,Jacket,Clothing,4,391,1564,East,CUST3116
158,2023-05-14,Snacks,Grocery,8,649,5192,West,CUST7166
159,2023-04-21,Table,Furniture,8,309,2472,West,CUST1827
160,2023-11-24,Shirt,Clothing,8,904,7232,East,CUST4177
161,2023-01-29,Headphones,Electronics,9,150,1350,South,CUST4368
162,2023-04-11,Jacket,Clothing,1,913,913,North,CUST4417
163,2023-01-01,Milk,Grocery,7,924,6468,East,CUST5021
164,2023-11-05,Jacket,Clothing,5,530,2650,North,CUST9393
165,2023-10-18,Rice,Grocery,5,765,3825,East,CUST1536
166,2023-07-29,Sofa,Furniture,6,485,2910,East,CUST9609
167,2023-06-01,Shirt,Clothing,3,281,843,North,CUST2990
168,2023-06-10,Milk,Grocery,5,955,4775,North,CUST5380
169,2023-02-18,Jeans,Clothing,2,568,1136,East,CUST5944
170,2023-04-28,Rice,Grocery,1,247,247,South,CUST6182
171,2023-08-12,Novel,Books,7,868,6076,North,CUST3482
172,2023-10-13,Jacket,Clothing,1,528,528,West,CUST8186
173,2023-07-13,Chair,Furniture,3,274,822,South,CUST6083
174,2023-05-12,Laptop,Electronics,6,930,5580,North,CUST4335
175,2023-10-15,Magazine,Books,7,742,5194,South,CUST2481
176,2023-03-28,Jeans,Clothing,2,479,958,East,CUST8643
177,2023-11-09,Sofa,Furniture,8,932,7456,East,CUST6954
178,2023-09-06,Jacket,Clothing,8,153,1224,East,CUST4300
179,2023-09-21,Jacket,Clothing,1,703,703,South,CUST8970
180,2023-08-11,Shirt,Clothing,6,568,3408,East,CUST1943
181,2023-05-31,Sofa,Furniture,7,772,5404,North,CUST5242
182,2023-07-07,Magazine,Books,4,384,1536,South,CUST9705
183,2023-08-22,Headphones,Electronics,5,622,3110,East,CUST2409
184,2023-01-20,Jacket,Clothing,7,495,3465,North,CUST1804
185,2023-12-08,Laptop,Electronics,5,966,4830,West,CUST3679
186,2023-08-12,Jeans,Clothing,7,227,1589,North,CUST4186
187,2023-08-25,Laptop,Electronics,9,651,5859,North,CUST8368
188,2023-01-29,Jeans,Clothing,4,765,3060,North,CUST9996
189,2023-12-07,Jeans,Clothing,2,227,454,South,CUST6475
190,2023-06-14,Laptop,Electronics,2,116,232,North,CUST8141
191,2023-12-08,Sofa,Furniture,5,973,4865,North,CUST3074
192,2023-06-17,Headphones,Electronics,6,830,4980,South,CUST7136
193,2023-07-09,Magazine,Books,1,575,575,South,CUST4629
194,2023-06-30,Table,Furniture,1,918,918,West,CUST6490
195,2023-10-23,Chair,Furniture,5,878,4390,East,CUST8679
196,2023-08-15,Rice,Grocery,7,843,5901,South,CUST5150
197,2023-05-28,Novel,Books,4,850,3400,East,CUST2762
198,2023-12-31,Snacks,Grocery,1,606,606,East,CUST1481
199,2023-03-14,Laptop,Electronics,2,600,1200,North,CUST3343
200,2023-04-14,Smartphone,Electronics,9,160,1440,South,CUST8970
201,2023-06-21,Jeans,Clothing,5,207,1035,East,CUST4549
202,2023-11-01,Sofa,Furniture,5,143,715,North,CUST6136
203,2023-10-30,Chair,Furniture,7,596,4172,West,CUST2341
204,2023-08-03,Jacket,Clothing,5,180,900,North,CUST3421
205,2023-05-23,Laptop,Electronics,9,367,3303,East,CUST4993
206,2023-10-09,Smartphone,Electronics,7,500,3500,North,CUST4157
207,2023-05-17,Sofa,Furniture,5,618,3090,East,CUST9007
208,2023-03-23,Sofa,Furniture,7,576,4032,East,CUST6085
209,2023-04-13,Snacks,Grocery,3,501,1503,North,CUST8693
210,2023-10-20,Shirt,Clothing,2,230,460,East,CUST3983
211,2023-02-08,Sofa,Furniture,7,463,3241,East,CUST7640
212,2023-07-29,Rice,Grocery,6,496,2976,North,CUST9684
213,2023-08-15,Table,Furniture,2,410,820,South,CUST1545
214,2023-04-06,Jacket,Clothing,2,515,1030,East,CUST8206
215,2023-11-14,Rice,Grocery,1,576,576,North,CUST1271
216,2023-12-25,Snacks,Grocery,9,365,3285,West,CUST4760
217,2023-11-20,Shirt,Clothing,8,769,6152,South,CUST5388
218,2023-11-01,Smartphone,Electronics,5,684,3420,North,CUST8511
219,2023-07-17,Snacks,Grocery,5,160,800,East,CUST8486
220,2023-07-18,Jeans,Clothing,2,252,504,West,CUST6690
221,2023-08-31,Rice,Grocery,6,984,5904,North,CUST2389
222,2023-08-06,Sofa,Furniture,2,924,1848,North,CUST7402
223,2023-08-03,Novel,Books,6,146,876,North,CUST2913
224,2023-12-04,Smartphone,Electronics,3,789,2367,South,CUST8312
225,2023-04-30,Jacket,Clothing,6,880,5280,North,CUST5675
226,2023-05-03,Comics,Books,9,422,3798,West,CUST2218
227,2023-02-09,Laptop,Electronics,9,562,5058,North,CUST1954
228,2023-09-08,Sofa,Furniture,6,427,2562,North,CUST6295
229,2023-11-12,Table,Furniture,6,136,816,West,CUST4020
230,2023-02-09,Rice,Grocery,1,213,213,North,CUST1317
231,2023-02-09,Magazine,Books,3,667,2001,South,CUST7183
232,2023-08-04,Shirt,Clothing,1,361,361,East,CUST3383
233,2023-12-29,Rice,Grocery,9,880,7920,North,CUST5286
234,2023-08-23,Jeans,Clothing,7,232,1624,North,CUST3808
235,2023-06-09,Jacket,Clothing,7,525,3675,East,CUST4741
236,2023-01-13,Table,Furniture,7,323,2261,South,CUST2136
237,2023-12-20,Smartphone,Electronics,8,322,2576,West,CUST5543
238,2023-03-15,Magazine,Books,6,566,3396,North,CUST2435
239,2023-07-15,Snacks,Grocery,5,377,1885,West,CUST2887
240,2023-07-11,Milk,Grocery,4,830,3320,North,CUST9073
241,2023-11-02,Laptop,Electronics,8,309,2472,South,CUST5799
242,2023-01-07,Magazine,Books,3,480,1440,North,CUST8813
243,2023-08-14,Jacket,Clothing,7,637,4459,North,CUST9707
244,2023-09-28,Headphones,Electronics,9,138,1242,East,CUST3844
245,2023-05-10,Magazine,Books,4,899,3596,East,CUST4155
246,2023-08-24,Jacket,Clothing,3,948,2844,West,CUST1988
247,2023-09-19,Magazine,Books,5,183,915,East,CUST6626
248,2023-06-11,Laptop,Electronics,6,626,3756,North,CUST4056
249,2023-05-25,Laptop,Electronics,8,159,1272,North,CUST4380
250,2023-12-15,Jeans,Clothing,2,298,596,West,CUST7059
251,2023-01-15,Comics,Books,3,657,1971,North,CUST2875
252,2023-08-02,Rice,Grocery,6,930,5580,South,CUST7644
253,2023-03-05,Comics,Books,8,683,5464,North,CUST5167
254,2023-04-05,Comics,Books,2,465,930,South,CUST7154
255,2023-09-24,Novel,Books,1,201,201,South,CUST4762
256,2023-06-09,Smartphone,Electronics,9,145,1305,East,CUST9783
257,2023-12-19,Rice,Grocery,8,341,2728,South,CUST7368
258,2023-04-26,Smartphone,Electronics,1,688,688,South,CUST1917
259,2023-06-23,Table,Furniture,7,189,1323,South,CUST4041
260,2023-11-13,Sofa,Furniture,1,971,971,East,CUST1634
261,2023-08-11,Laptop,Electronics,9,458,4122,West,CUST1552
262,2023-04-21,Table,Furniture,4,417,1668,East,CUST3430
263,2023-01-03,Jeans,Clothing,6,509,3054,East,CUST5904
264,2023-03-28,Milk,Grocery,2,111,222,West,CUST2560
265,2023-08-26,Magazine,Books,3,666,1998,West,CUST5780
266,2023-10-15,Magazine,Books,5,794,3970,East,CUST8979
267,2023-05-30,Table,Furniture,2,822,1644,North,CUST9503
268,2023-08-31,Headphones,Electronics,3,813,2439,East,CUST7236
269,2023-08-01,Headphones,Electronics,1,961,961,East,CUST1956
270,2023-12-30,Rice,Grocery,4,831,3324,South,CUST7675
271,2023-04-15,Milk,Grocery,1,707,707,West,CUST6631
272,2023-10-22,Milk,Grocery,2,873,1746,South,CUST2394
273,2023-01-18,Table,Furniture,3,336,1008,West,CUST3958
274,2023-08-28,Headphones,Electronics,8,199,1592,South,CUST1525
275,2023-02-10,Sofa,Furniture,5,936,4680,South,CUST2525
276,2023-03-25,Rice,Grocery,8,330,2640,South,CUST4814
277,2023-03-07,Headphones,Electronics,9,127,1143,East,CUST5356
278,2023-10-14,Smartphone,Electronics,7,402,2814,East,CUST4081
279,2023-05-13,Jeans,Clothing,9,356,3204,West,CUST6895
280,2023-10-11,Shirt,Clothing,9,675,6075,North,CUST4178
281,2023-06-14,Magazine,Books,5,303,1515,North,CUST4568
282,2023-09-08,Snacks,Grocery,6,719,4314,North,CUST2939
283,2023-10-20,Table,Furniture,2,610,1220,West,CUST1281
284,2023-07-17,Novel,Books,7,134,938,North,CUST6178
285,2023-07-25,Novel,Books,1,790,790,West,CUST5585
286,2023-09-08,Rice,Grocery,2,315,630,East,CUST1125
287,2023-07-04,Chair,Furniture,2,896,1792,East,CUST6342
288,2023-10-21,Jeans,Clothing,7,527,3689,West,CUST7294
289,2023-12-07,Comics,Books,7,107,749,North,CUST7812
290,2023-10-17,Magazine,Books,6,274,1644,North,CUST6238
291,2023-01-26,Sofa,Furniture,2,244,488,West,CUST1302
292,2023-10-29,Headphones,Electronics,8,444,3552,West,CUST4072
293,2023-03-10,Jacket,Clothing,5,403,2015,North,CUST9125
294,2023-03-04,Milk,Grocery,2,803,1606,North,CUST8848
295,2023-03-18,Smartphone,Electronics,9,856,7704,East,CUST1488
296,2023-05-12,Jeans,Clothing,6,593,3558,South,CUST5114
297,2023-12-05,Table,Furniture,9,378,3402,North,CUST6450
298,2023-03-30,Laptop,Electronics,6,554,3324,North,CUST4726
299,2023-11-12,Laptop,Electronics,7,242,1694,North,CUST6592
300,2023-04-12,Smartphone,Electronics,1,390,390,South,CUST8010
301,2023-03-26,Table,Furniture,9,102,918,South,CUST7471
302,2023-06-03,Table,Furniture,5,320,1600,North,CUST1011
303,2023-08-16,Comics,Books,5,399,1995,East,CUST9234
304,2023-04-17,Sofa,Furniture,5,506,2530,East,CUST5431
305,2023-07-22,Magazine,Books,9,903,8127,East,CUST1140
306,2023-02-21,Jeans,Clothing,4,472,1888,South,CUST4610
307,2023-05-24,Magazine,Books,3,747,2241,South,CUST6539
308,2023-05-12,Table,Furniture,1,688,688,South,CUST5445
309,2023-03-12,Jacket,Clothing,7,258,1806,East,CUST3359
310,2023-03-25,Laptop,Electronics,8,135,1080,West,CUST2798
311,2023-10-04,Smartphone,Electronics,7,217,1519,South,CUST4097
312,2023-05-01,Headphones,Electronics,8,477,3816,North,CUST7295
313,2023-02-19,Laptop,Electronics,5,679,3395,West,CUST7674
314,2023-06-13,Snacks,Grocery,9,245,2205,South,CUST4040
315,2023-04-18,Chair,Furniture,1,582,582,South,CUST1630
316,2023-10-20,Novel,Books,6,531,3186,East,CUST1987
317,2023-03-18,Jeans,Clothing,9,689,6201,North,CUST9632
318,2023-03-26,Laptop,Electronics,3,362,1086,South,CUST7780
319,2023-07-07,Smartphone,Electronics,7,379,2653,South,CUST6699
320,2023-02-05,Table,Furniture,7,720,5040,West,CUST8843
321,2023-03-11,Shirt,Clothing,8,452,3616,North,CUST1707
322,2023-01-27,Novel,Books,2,616,1232,West,CUST8397
323,2023-02-27,Sofa,Furniture,6,911,5466,East,CUST9533
324,2023-07-28,Sofa,Furniture,2,713,1426,East,CUST5211
325,2023-11-29,Milk,Grocery,4,552,2208,North,CUST4374
326,2023-01-12,Headphones,Electronics,9,154,1386,North,CUST4719
327,2023-04-25,Snacks,Grocery,7,447,3129,West,CUST7099
328,2023-05-29,Rice,Grocery,9,385,3465,West,CUST5037
329,2023-02-07,Sofa,Furniture,1,883,883,West,CUST3785
330,2023-05-31,Comics,Books,4,580,2320,South,CUST3408
331,2023-11-27,Comics,Books,9,548,4932,East,CUST6299
332,2023-05-23,Table,Furniture,7,361,2527,South,CUST6435
333,2023-06-15,Comics,Books,1,141,141,South,CUST6548
334,2023-05-14,Jeans,Clothing,8,769,6152,East,CUST8693
335,2023-03-07,Headphones,Electronics,5,774,3870,East,CUST5225
336,2023-09-23,Jeans,Clothing,4,867,3468,North,CUST9984
337,2023-04-05,Comics,Books,1,263,263,South,CUST5917
338,2023-05-21,Magazine,Books,3,124,372,North,CUST3529
339,2023-03-20,Comics,Books,4,636,2544,West,CUST8340
340,2023-11-12,Rice,Grocery,4,757,3028,East,CUST3719
341,2023-05-31,Magazine,Books,2,159,318,East,CUST7430
342,2023-12-11,Shirt,Clothing,3,877,2631,South,CUST7525
343,2023-03-24,Jeans,Clothing,8,562,4496,North,CUST6448
344,2023-03-21,Milk,Grocery,3,362,1086,West,CUST7907
345,2023-04-11,Headphones,Electronics,8,884,7072,East,CUST2403
346,2023-05-04,Rice,Grocery,4,519,2076,South,CUST4302
347,2023-07-10,Sofa,Furniture,5,727,3635,South,CUST1767
348,2023-04-02,Magazine,Books,7,254,1778,South,CUST2549
349,2023-07-02,Novel,Books,6,744,4464,South,CUST8898
350,2023-05-29,Comics,Books,6,690,4140,South,CUST8638
351,2023-01-13,Sofa,Furniture,5,164,820,North,CUST9433
352,2023-06-22,Novel,Books,5,437,2185,West,CUST1163
353,2023-07-10,Headphones,Electronics,1,799,799,North,CUST3355
354,2023-02-21,Comics,Books,4,645,2580,West,CUST1593
355,2023-02-11,Shirt,Clothing,4,521,2084,North,CUST3672
356,2023-05-09,Smartphone,Electronics,8,492,3936,South,CUST1571
357,2023-08-20,Novel,Books,2,925,1850,North,CUST8451
358,2023-08-02,Jacket,Clothing,2,875,1750,West,CUST8088
359,2023-03-10,Headphones,Electronics,8,272,2176,West,CUST8083
360,2023-11-29,Headphones,Electronics,5,107,535,West,CUST4456
361,2023-06-01,Magazine,Books,8,582,4656,North,CUST2668
362,2023-08-16,Rice,Grocery,8,925,7400,East,CUST5531
363,2023-02-20,Jacket,Clothing,3,639,1917,East,CUST9964
364,2023-05-16,Table,Furniture,1,322,322,West,CUST9551
365,2023-02-18,Smartphone,Electronics,2,562,1124,West,CUST7979
366,2023-04-29,Smartphone,Electronics,9,477,4293,South,CUST7910
367,2023-05-20,Table,Furniture,5,775,3875,East,CUST6607
368,2023-12-17,Table,Furniture,5,259,1295,West,CUST9714
369,2023-07-02,Sofa,Furniture,1,501,501,North,CUST6784
370,2023-10-05,Jeans,Clothing,9,725,6525,West,CUST3461
371,2023-04-23,Rice,Grocery,3,785,2355,West,CUST6341
372,2023-05-29,Smartphone,Electronics,2,248,496,South,CUST1301
373,2023-08-23,Snacks,Grocery,6,761,4566,North,CUST8003
374,2023-01-29,Novel,Books,2,869,1738,North,CUST5558
375,2023-03-29,Snacks,Grocery,2,706,1412,West,CUST9652
376,2023-01-03,Shirt,Clothing,1,795,795,East,CUST2653
377,2023-10-08,Jacket,Clothing,7,207,1449,West,CUST4300
378,2023-12-30,Table,Furniture,8,228,1824,North,CUST1514
379,2023-01-10,Headphones,Electronics,2,590,1180,North,CUST4967
380,2023-01-13,Jacket,Clothing,2,211,422,North,CUST3547
381,2023-07-28,Milk,Grocery,6,111,666,South,CUST2037
382,2023-01-20,Laptop,Electronics,5,476,2380,East,CUST4983
383,2023-11-08,Jacket,Clothing,7,169,1183,East,CUST2124
384,2023-01-24,Sofa,Furniture,4,119,476,South,CUST1226
385,2023-11-06,Chair,Furniture,6,568,3408,West,CUST5966
386,2023-07-07,Comics,Books,6,871,5226,North,CUST6036
387,2023-01-04,Rice,Grocery,7,682,4774,North,CUST4586
388,2023-09-11,Comics,Books,7,599,4193,West,CUST1161
389,2023-11-15,Sofa,Furniture,3,916,2748,South,CUST7354
390,2023-12-22,Comics,Books,6,216,1296,West,CUST9623
391,2023-07-02,Comics,Books,7,212,1484,North,CUST2169
392,2023-10-28,Rice,Grocery,9,217,1953,North,CUST2283
393,2023-03-19,Snacks,Grocery,6,658,3948,West,CUST9266
394,2023-03-02,Laptop,Electronics,5,604,3020,South,CUST3097
395,2023-09-11,Shirt,Clothing,1,961,961,South,CUST3757
396,2023-02-04,Headphones,Electronics,3,856,2568,South,CUST6017
397,2023-03-15,Shirt,Clothing,5,148,740,West,CUST7404
398,2023-08-19,Milk,Grocery,4,737,2948,East,CUST6105
399,2023-04-10,Shirt,Clothing,8,412,3296,South,CUST1685
400,2023-02-05,Rice,Grocery,4,763,3052,North,CUST2431
401,2023-06-12,Milk,Grocery,6,319,1914,East,CUST4291
402,2023-03-11,Table,Furniture,9,304,2736,West,CUST6347
403,2023-07-15,Jeans,Clothing,9,632,5688,South,CUST5000
404,2023-06-09,Jacket,Clothing,6,738,4428,West,CUST2171
405,2023-05-22,Comics,Books,8,995,7960,North,CUST5260
406,2023-05-11,Chair,Furniture,2,680,1360,East,CUST2753
407,2023-12-11,Novel,Books,3,470,1410,North,CUST7588
408,2023-07-15,Smartphone,Electronics,2,728,1456,East,CUST7633
409,2023-03-22,Headphones,Electronics,6,388,2328,West,CUST1572
410,2023-03-27,Table,Furniture,9,522,4698,North,CUST5624
411,2023-03-06,Table,Furniture,6,709,4254,South,CUST2537
412,2023-05-05,Laptop,Electronics,2,243,486,East,CUST9535
413,2023-08-31,Snacks,Grocery,3,803,2409,East,CUST6055
414,2023-08-02,Comics,Books,4,977,3908,East,CUST7519
415,2023-04-02,Magazine,Books,6,727,4362,South,CUST8548
416,2023-03-07,Laptop,Electronics,1,546,546,North,CUST6879
417,2023-09-19,Shirt,Clothing,4,326,1304,East,CUST7744
418,2023-11-03,Jeans,Clothing,3,808,2424,East,CUST3551
419,2023-10-24,Milk,Grocery,8,607,4856,West,CUST9676
420,2023-08-26,Magazine,Books,9,658,5922,West,CUST7971
421,2023-12-02,Milk,Grocery,2,874,1748,East,CUST1258
422,2023-08-08,Jeans,Clothing,8,585,4680,North,CUST6110
